ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
error loadView general | 25.04.2018 00:47:57  |  User:   | media | response 400
error loadView general | 25.04.2018 00:48:20  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:48:21  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:48:21  |  User:   | media | response 400
error loadView general | 25.04.2018 00:48:57  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:48:58  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:48:58  |  User:   | media | response 400
error loadView general | 25.04.2018 00:49:52  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:49:53  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:49:53  |  User:   | media | response 400
error loadView general | 25.04.2018 00:51:12  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:51:12  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:51:12  |  User:   | media | response 400
error loadView general | 25.04.2018 00:51:49  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:51:49  |  User:   | media | response 400
error loadView general | 25.04.2018 00:51:49  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:53:16  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:53:17  |  User:   | media | response 400
error loadView general | 25.04.2018 00:53:17  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:53:54  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:53:54  |  User:   | media | response 400
error loadView general | 25.04.2018 00:53:54  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:54:19  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:54:20  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:54:20  |  User:   | media | response 400
error loadView general | 25.04.2018 00:55:15  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:55:15  |  User:   | media | response 400
error loadView general | 25.04.2018 00:55:15  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:55:47  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:55:48  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:55:48  |  User:   | media | response 400
error loadView general | 25.04.2018 00:56:10  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:56:10  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:56:10  |  User:   | media | response 400
error loadView general | 25.04.2018 00:57:56  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:57:56  |  User:   | media | response 400
error loadView general | 25.04.2018 00:57:56  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:58:06  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:58:07  |  User:   | media | response 400
error loadView general | 25.04.2018 00:58:37  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:58:37  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:58:37  |  User:   | media | response 400
error loadView general | 25.04.2018 00:58:53  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:58:53  |  User:   | media | response 400
error loadView general | 25.04.2018 00:59:25  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:59:26  |  User:   | media | response 400
error loadView general | 25.04.2018 00:59:26  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:59:38  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:59:39  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:59:39  |  User:   | media | response 400
error loadView general | 25.04.2018 00:59:58  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:59:58  |  User:   | media | response 400
